1	461	1000000	0	200054	0x30d76
3	513	3500000	0	2600036	0x27ac64
2	527	1500000	0	699996	0xaae5c
1	1000501	1000000	0	200016	0x30d50
2	1500640	1500000	0	700015	0xaae6f
1	2000622	1000000	0	200013	0x30d4d
2	3000897	1500000	0	700033	0xaae81
1	3000915	1000000	0	200009	0x30d49
3	3500643	3500000	0	2100322	0x200c62
1	4000999	1000000	0	200020	0x30d54
2	4500891	1500000	0	500014	0x7a12e
1	5001082	1000000	0	200010	0x30d4a
2	6001021	1500000	0	700029	0xaae7d
1	6001258	1000000	0	200010	0x30d4a
3	7000878	3500000	0	1900044	0x1cfe0c
1	7001423	1000000	0	200007	0x30d47
2	7501278	1500000	0	500017	0x7a131
1	8001564	1000000	0	200008	0x30d48
2	9001455	1500000	0	700022	0xaae76
1	9001810	1000000	0	200007	0x30d47
1	10001976	1000000	0	200017	0x30d51
3	10500961	3500000	0	2400051	0x249f33
2	10501613	1500000	0	500007	0x7a127
1	11002202	1000000	0	200009	0x30d49
2	12001782	1500000	0	700025	0xaae79
1	12002356	1000000	0	200006	0x30d46
1	13002532	1000000	0	200010	0x30d4a
2	13501890	1500000	0	500015	0x7a12f
3	14001044	3500000	0	1900895	0x1d015f
1	14002731	1000000	0	200005	0x30d45
2	15001992	1500000	0	700025	0xaae79
1	15002842	1000000	0	200008	0x30d48
1	16003020	1000000	0	200017	0x30d51
2	16502153	1500000	0	500018	0x7a132
1	17003213	1000000	0	200010	0x30d4a
3	17501259	3500000	0	1900200	0x1cfea8
2	18002330	1500000	0	700026	0xaae7a
1	18003376	1000000	0	200009	0x30d49
1	19003704	1000000	0	200169	0x30de9
2	19502414	1500000	0	500015	0x7a12f
1	20003869	1000000	0	200010	0x30d4a
