566	0
603	1
20604	1
20612	0
20614	0
20614	2
70615	2
70623	0
70625	0
70626	3
100504	3
100511	0
100511	0
100512	1
120511	1
120516	0
120517	0
120518	3
150603	3
150609	0
150610	0
150610	2
200605	2
200613	0
200614	0
200614	1
220614	1
220619	0
220621	0
220621	3
260647	3
260655	0
300704	0
300711	1
320712	1
320715	0
320717	0
320718	2
370718	2
370725	0
370727	0
370727	3
400814	3
400821	0
400822	0
400822	1
420822	1
420824	0
420826	0
420826	3
450805	3
450811	0
450812	0
450812	2
500812	2
500819	0
500821	0
500822	3
500915	3
500916	0
500916	0
500917	1
520916	1
520919	0
520920	0
520921	3
560751	3
560757	0
600894	0
600900	2
600986	2
600987	0
600988	0
600988	1
620988	1
620996	0
620998	0
620999	2
670914	2
670922	0
700792	0
700798	3
701098	3
701100	0
701100	0
701101	1
721100	1
721104	0
721106	0
721106	3
750994	3
751000	0
751000	0
751001	2
801000	2
801008	0
801011	0
801011	3
801215	3
801216	0
801217	0
801217	1
821217	1
821220	0
821222	0
821222	3
890825	3
890833	0
901120	0
901122	2
901301	2
901303	0
901303	0
901304	1
921303	1
921307	0
921308	0
921309	2
971128	2
971136	0
1001428	0
1001432	1
1021433	1
1021437	0
1050896	0
1050902	3
1051219	3
1051220	0
1051221	0
1051221	2
1101221	2
1101228	0
1101231	0
1101231	3
1101544	3
1101545	0
1101545	0
1101546	1
1121545	1
1121549	0
1121551	0
1121551	3
1201621	3
1201626	0
1201627	0
1201627	2
1201645	2
1201646	0
1201646	0
1201647	1
1221646	1
1221652	0
1221655	0
1221656	2
1271638	2
1271646	0
1271648	0
1271649	3
1290945	3
1290946	0
1301771	0
1301773	1
1321774	1
1321777	0
1351722	0
1351728	2
1401729	2
1401736	0
1401738	0
1401739	3
1401865	3
1401867	0
1401867	0
1401868	1
1421867	1
1421869	0
1421871	0
1421871	3
1501849	3
1501856	0
1501857	0
1501857	2
1501952	2
1501953	0
1501954	0
1501954	1
1521954	1
1521956	0
1521958	0
1521958	2
1571863	2
1571871	0
1571873	0
1571874	3
1591763	3
1591765	0
1602079	0
1602081	1
1622081	1
1622084	0
1651948	0
1651954	2
1701955	2
1701962	0
1702165	0
1702166	1
1722167	1
1722170	0
1751112	0
1751116	3
1802041	3
1802045	0
1802046	0
1802046	2
1802585	2
1802586	0
1802587	0
1802587	1
1822587	1
1822593	0
1822597	0
1822597	2
1872058	2
1872066	0
1872068	0
1872069	3
1902712	3
1902717	0
1902718	0
1902719	1
1922718	1
1922720	0
1922723	0
1922723	3
1941149	3
1941153	0
1952146	0
1952147	2
2002148	2
2002154	0
2002814	0
2002816	1
2022817	1
2022824	0
